n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9369713850319386,1.5253269169479609,1.1138572692871094,1.7384910583496094,0.6246337890625,0.0006222724914550781,0.001953125,nan
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.5648175589740276,2.4605091232806444,1.1139297485351562,1.8424568176269531,0.7285270690917969,0.022367477416992188,0.025390625,nan
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.1943807546049356,3.5854780226945877,1.114044189453125,2.0088424682617188,0.8947982788085938,0.17885351181030273,0.193359375,nan
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.399440090171993,5.4826748026534915,1.1141891479492188,2.07550048828125,0.9613113403320312,0.6808438301086426,0.751953125,nan
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.677135745994747,7.5499995881691575,1.1145401000976562,2.0808944702148438,0.9663543701171875,2.095304012298584,2.279296875,nan
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.602164733223617,10.507376375608146,1.1148185729980469,2.0875587463378906,0.9727401733398438,4.947340488433838,5.658203125,nan
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.659640820231289,16.81636472977698,1.1151161193847656,2.089611053466797,0.9744949340820312,10.581489086151123,12.287109375,nan
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.716708932071924,24.27203641831875,1.1154212951660156,2.1009674072265625,0.9855461120605469,19.80061626434326,23.005859375,nan
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.721550709102303,34.08666924433783,1.1159248352050781,2.3010635375976562,1.1851387023925781,35.32632780075073,41.08984375,nan
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.30751484585926,49.74626135407016,1.1165237426757812,2.3142356872558594,1.1977119445800781,59.156264305114746,65.955078125,nan
