n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9421787243336439,1.523687404114753,1.1136932373046875,1.7382659912109375,0.62457275390625,0.0006222724914550781,0.001953125,nan
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.5822368068620563,2.470937413163483,1.1138229370117188,1.8423309326171875,0.7285079956054688,0.022367477416992188,0.025390625,nan
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.293349839746952,3.7073137001134455,1.1140518188476562,2.0087661743164062,0.89471435546875,0.17885351181030273,0.193359375,nan
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.433683677110821,5.5393022750504315,1.1142501831054688,2.0754966735839844,0.9612464904785156,0.6808438301086426,0.751953125,nan
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.741619645152241,7.634294980671257,1.1143836975097656,2.080860137939453,0.9664764404296875,2.095304012298584,2.279296875,nan
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.616481235250831,10.534156064037234,1.1147117614746094,2.0873641967773438,0.9726524353027344,4.947340488433838,5.658203125,nan
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.679814611095935,16.75928115984425,1.1151390075683594,2.089630126953125,0.9744911193847656,10.581489086151123,12.287109375,nan
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.550832686014473,24.01847187289968,1.1154899597167969,2.2898483276367188,1.1743583679199219,19.80061626434326,23.005859375,nan
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.76209727395326,34.072068160865456,1.1160469055175781,2.3013038635253906,1.1852569580078125,35.32632780075073,41.08984375,nan
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.163241237867624,49.485704065766186,1.1164512634277344,2.3142929077148438,1.1978416442871094,59.156264305114746,65.955078125,nan
