n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,0.4619855801681944,0.4619855801681944,0,0.3327772617340088,nan
20,2,0.528521547446453,0.4619855801681944,0.06653596727825856,20,0.873075008392334,0.528521547446453
20,3,0.45464731605874464,0.4619855801681944,0.007338264109449766,210,0.9324867725372314,0.07387423138770832
20,4,0.46219989272545725,0.4619855801681944,0.00021431255726284126,1350,1.7273304462432861,0.007552576666712607
20,5,0.46194333399365006,0.4619855801681944,4.224617454434698e-05,6195,9.948041200637817,0.00025655873180718824
24,1,0.0,0.0032643536941218618,0.0032643536941218618,0,0.1735215187072754,nan
24,2,0.02699717125185888,0.0032643536941218618,0.02373281755773702,24,1.131751298904419,0.02699717125185888
24,3,0.010957919381432007,0.0032643536941218618,0.007693565687310146,300,1.3428723812103271,0.016039251870426874
24,4,0.0036051946902889154,0.0032643536941218618,0.0003408409961670536,2324,2.79059100151062,0.007352724691143092
24,5,0.0032875601863023296,0.0032643536941218618,2.320649218046783e-05,12949,32.73875904083252,0.00031763450398658577
28,1,0.0,-0.6765410059002295,0.6765410059002295,0,0.22107410430908203,nan
28,2,-0.7344872724170821,-0.6765410059002295,0.05794626651685264,28,1.5356197357177734,0.7344872724170821
28,3,-0.6696849380941522,-0.6765410059002295,0.006856067806077282,406,1.868417739868164,0.06480233432292992
28,4,-0.6776597721797836,-0.6765410059002295,0.0011187662795540954,3681,4.91376256942749,0.007974834085631377
28,5,-0.6764587219052582,-0.6765410059002295,8.228399497123284e-05,24143,96.67984580993652,0.0012010502745253282
