n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,-0.08944454490967316,0.08944454490967316,0,0.2992227077484131,nan
20,2,-0.08735358425801422,-0.08944454490967316,0.002090960651658938,20,0.7047901153564453,0.08735358425801422
20,3,-0.08941814530673055,-0.08944454490967316,2.6399602942608902e-05,195,0.7214992046356201,0.002064561048716329
20,4,-0.0894292143399788,-0.08944454490967316,1.533056969435509e-05,1216,1.1985955238342285,1.1069033248253812e-05
20,5,-0.08944486683077682,-0.08944454490967316,3.219211036631364e-07,5757,5.553961992263794,1.5652490798018226e-05
24,1,0.0,0.15168868994634543,0.15168868994634543,0,0.14375948905944824,nan
24,2,0.12962290134481122,0.15168868994634543,0.022065788601534214,24,0.9407773017883301,0.12962290134481122
24,3,0.1476757520408339,0.15168868994634543,0.004012937905511521,298,1.1495368480682373,0.018052850696022693
24,4,0.15092075576577768,0.15168868994634543,0.0007679341805677531,2321,2.2814812660217285,0.003245003724943768
24,5,0.1516166269526683,0.15168868994634543,7.206299367712443e-05,12919,26.38560652732849,0.0006958711868906287
28,1,0.0,-0.27014443085492246,0.27014443085492246,0,0.19785308837890625,nan
28,2,-0.26322762931085375,-0.27014443085492246,0.006916801544068707,28,1.3191556930541992,0.26322762931085375
28,3,-0.2727102488100458,-0.27014443085492246,0.0025658179551233395,406,1.6005580425262451,0.009482619499192046
28,4,-0.27033349015827923,-0.27014443085492246,0.00018905930335677557,3679,4.041106224060059,0.002376758651766564
28,5,-0.270146496235524,-0.27014443085492246,2.0653806015458187e-06,24109,79.44289088249207,0.00018699392275522975
