n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,123,18,140,1109,55,55,3675,0.39776476699626073,0.5800858190050349,0.589691162109375,0.9515113830566406,0.3618202209472656,0.0013065338134765625,0.001953125,0.0,0.016646331001538783,0.015900915022939444,7149
20,3,gpu,5,0.3,123,67,435,10666,210,210,32550,0.9300891750026494,1.476646156021161,0.5895957946777344,0.96038818359375,0.3707923889160156,0.03340578079223633,0.03515625,0.033203125,0.04915933299344033,0.09283375900122337,92885
30,3,gpu,5,0.3,123,137,835,34853,465,465,113625,1.7368720849917736,2.784339470003033,0.5901145935058594,0.9601898193359375,0.3700752258300781,0.1767749786376953,0.197265625,0.1953125,0.09450283698970452,0.41215776599710807,277407
40,3,gpu,5,0.3,123,228,1340,78836,820,820,273900,2.9810438670101576,4.682107394008199,0.5899887084960938,1.0010566711425781,0.4110679626464844,0.626410961151123,0.708984375,0.70703125,0.21606289900955744,1.3196956270257942,656516
50,3,gpu,5,0.3,123,359,2045,157087,1275,1275,540375,4.571065266005462,7.216982488986105,0.5905265808105469,0.9907188415527344,0.4001922607421875,1.975792407989502,2.162109375,2.16015625,0.523370533977868,3.52659513198887,1353926
60,3,gpu,5,0.3,123,544,3020,282230,1830,1830,940050,7.457549314014614,11.586344842013204,0.5905876159667969,0.9932823181152344,0.4026947021484375,5.078144073486328,5.8359375,5.833984375,1.2351287819910794,8.802624819014454,2515212
70,3,gpu,5,0.3,123,744,4070,452101,2485,2485,1499925,14.400677669997094,19.900862689013593,0.5907325744628906,1.0070228576660156,0.416290283203125,10.776222229003906,12.58203125,12.580078125,2.4543121400056407,17.324097017000895,4075725
80,3,gpu,5,0.3,123,971,5255,674532,3240,3240,2247000,23.76606133801397,30.580199689982692,0.5915565490722656,1.0057716369628906,0.414215087890625,20.14497184753418,23.322265625,23.3203125,4.544653472024947,31.192071948986268,6107283
90,3,gpu,5,0.3,123,1211,6505,950399,4095,4095,3208275,37.484088901022915,46.13385583899799,0.5919837951660156,1.0190582275390625,0.4270744323730469,34.60019636154175,41.822265625,41.8203125,7.86881826701574,50.12954800101579,8627926
100,3,gpu,5,0.3,123,1475,7875,1293634,5050,5050,4410750,59.264741410006536,70.07723183202324,0.5920791625976562,1.0361709594726562,0.444091796875,56.3399772644043,65.9140625,65.912109375,,,
