n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9517617239616811,1.5386408409103751,1.1138076782226562,1.7383270263671875,0.6245193481445312,0.0006222724914550781,0.001953125,nan
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.5524079441092908,2.420620524790138,1.1139488220214844,1.8424415588378906,0.7284927368164062,0.022367477416992188,0.025390625,nan
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.166811676695943,3.5598082090727985,1.1150474548339844,2.008800506591797,0.8937530517578125,0.17885351181030273,0.193359375,nan
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.4146090671420097,5.496173400897533,1.1141357421875,2.075489044189453,0.9613533020019531,0.6808438301086426,0.751953125,nan
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.665419489145279,7.540534869302064,1.1144332885742188,2.0808334350585938,0.966400146484375,2.095304012298584,2.279296875,nan
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.510136111173779,10.368100574240088,1.1148223876953125,2.0875816345214844,0.9727592468261719,4.947340488433838,5.658203125,nan
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.634597366675735,16.72189610172063,1.115234375,2.0897789001464844,0.9745445251464844,10.581489086151123,12.287109375,nan
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.59534350177273,24.092271541710943,1.1155662536621094,2.1012535095214844,0.985687255859375,19.80061626434326,23.005859375,nan
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.715942406095564,33.96072937268764,1.1158866882324219,2.3009605407714844,1.1850738525390625,35.32632780075073,41.08984375,nan
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.19285315601155,49.53213881282136,1.1164131164550781,2.31396484375,1.1975517272949219,59.156264305114746,65.955078125,nan
