i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.37045285385102,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9976747035980225,8.374628591816872,1,0.085661184
2,0.16534698176788384,0.05263157894736842,0.9893918037414551,8.432858106214553,4,0.087159808
3,0.24802047265182575,0.07894736842105263,0.9847028255462646,8.517225339077413,1,0.0900224
4,0.3306939635357677,0.10526315789473684,0.9439448118209839,8.71621423587203,4,0.091987456
5,0.4133674544197096,0.13157894736842105,0.8980315327644348,8.801351895090193,4,0.095943168
6,0.4960409453036515,0.15789473684210525,0.8393505811691284,8.958701807074249,3,0.098462208
7,0.5787144361875934,0.18421052631578946,0.726145327091217,8.994231917895377,4,0.10048256
8,0.6613879270715354,0.21052631578947367,0.5673921704292297,9.065278958994895,4,0.103492096
9,0.7440614179554773,0.23684210526315788,0.370818167924881,8.999350033234805,4,0.106072064
10,0.8267349088394192,0.2631578947368421,0.1817168891429901,9.137957613915205,4,0.106154496
11,0.9094083997233612,0.2894736842105263,0.05976102128624916,9.190245807170868,4,0.104787456
12,0.992081890607303,0.3157894736842105,0.011722639203071594,9.039751106407493,1,0.099892224
13,1.074755381491245,0.3421052631578947,0.0012878387933596969,8.703516974113882,1,0.093616128
14,1.1574288723751869,0.3684210526315789,0.0,4.689417371060699,0,0.08941568
15,1.2401023632591288,0.39473684210526316,0.0,3.9064702671021223,0,0.0899072
16,1.3227758541430708,0.42105263157894735,0.0,3.396774561610073,0,0.0855168
17,1.4054493450270127,0.4473684210526316,0.0,2.992697597015649,0,0.08342272
18,1.4881228359109546,0.47368421052631576,0.0,2.8268898492679,0,0.081998848
19,1.5707963267948966,0.5,0.0,2.4001567899249494,0,0.080853504
