i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.411868480034173,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9976253509521484,8.841777950059623,1,0.0858624
2,0.16534698176788384,0.05263157894736842,0.9856716394424438,9.013776287902147,3,0.091655168
3,0.24802047265182575,0.07894736842105263,0.9587348699569702,9.418006055988371,1,0.103537664
4,0.3306939635357677,0.10526315789473684,0.9046385288238525,9.72974856197834,9,0.118897152
5,0.4133674544197096,0.13157894736842105,0.8742641806602478,10.043089895974845,17,0.146647552
6,0.4960409453036515,0.15789473684210525,0.8066373467445374,10.497157393023372,20,0.184150528
7,0.5787144361875934,0.18421052631578946,0.682252049446106,10.651819712948054,33,0.235098624
8,0.6613879270715354,0.21052631578947367,0.5383469462394714,10.82356715388596,42,0.281557504
9,0.7440614179554773,0.23684210526315788,0.3580574691295624,10.997731356881559,37,0.30421248
10,0.8267349088394192,0.2631578947368421,0.18156157433986664,10.992302863392979,24,0.293103616
11,0.9094083997233612,0.2894736842105263,0.0631084218621254,10.747337793931365,14,0.255660544
12,0.992081890607303,0.3157894736842105,0.012951564975082874,10.30596512183547,1,0.199675392
13,1.074755381491245,0.3421052631578947,0.001540808822028339,9.928164008073509,1,0.144995328
14,1.1574288723751869,0.3684210526315789,0.0,7.228925353847444,0,0.11237376
15,1.2401023632591288,0.39473684210526316,0.0,4.626513776835054,0,0.091685376
16,1.3227758541430708,0.42105263157894735,0.0,3.891548298764974,0,0.097385472
17,1.4054493450270127,0.4473684210526316,0.0,3.314676840789616,0,0.088126976
18,1.4881228359109546,0.47368421052631576,0.0,2.984321306925267,0,0.083758592
19,1.5707963267948966,0.5,0.0,2.3145087347365916,0,0.08149504
