i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.3508013128303,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9338613748550415,7.43524220213294,1,0.085336576
2,0.16534698176788384,0.05263157894736842,0.7598374485969543,7.305583189707249,1,0.085336576
3,0.24802047265182575,0.07894736842105263,0.537108838558197,7.313445440959185,1,0.085336576
4,0.3306939635357677,0.10526315789473684,0.3282043933868408,7.364155057352036,1,0.085336576
5,0.4133674544197096,0.13157894736842105,0.17209166288375854,7.366181214805692,1,0.085336576
6,0.4960409453036515,0.15789473684210525,0.07664036750793457,7.428980154916644,1,0.085336576
7,0.5787144361875934,0.18421052631578946,0.02859148196876049,7.457257902249694,1,0.085336576
8,0.6613879270715354,0.21052631578947367,0.008771763183176517,7.36734183691442,1,0.085336576
9,0.7440614179554773,0.23684210526315788,0.002159222960472107,7.503346665762365,1,0.085336576
10,0.8267349088394192,0.2631578947368421,0.00041246303590014577,7.40717549296096,1,0.085336576
11,0.9094083997233612,0.2894736842105263,0.0,4.08472892222926,0,0.085241856
12,0.992081890607303,0.3157894736842105,0.0,3.8043741858564317,0,0.084693504
13,1.074755381491245,0.3421052631578947,0.0,3.392691154964268,0,0.08384256
14,1.1574288723751869,0.3684210526315789,0.0,3.235140066128224,0,0.083201536
15,1.2401023632591288,0.39473684210526316,0.0,3.045038274023682,0,0.082632192
16,1.3227758541430708,0.42105263157894735,0.0,2.8767623379826546,0,0.082062848
17,1.4054493450270127,0.4473684210526316,0.0,2.739674214273691,0,0.08163584
18,1.4881228359109546,0.47368421052631576,0.0,2.4493893678300083,0,0.081208832
19,1.5707963267948966,0.5,0.0,2.1955494917929173,0,0.080497152
