i,h,h_over_pi,ev,time_s,zero_filtered_terms,peak_vram_gb
0,0.0,0.0,1.0,10.309070046059787,1,0.08249088
1,0.08267349088394192,0.02631578947368421,0.9993176460266113,7.973819461185485,1,0.085467648
2,0.16534698176788384,0.05263157894736842,0.9899052381515503,7.55350368283689,1,0.085597696
3,0.24802047265182575,0.07894736842105263,0.9546748995780945,7.516041281633079,1,0.085597696
4,0.3306939635357677,0.10526315789473684,0.8769928216934204,7.475551148876548,1,0.085597696
5,0.4133674544197096,0.13157894736842105,0.7489615082740784,7.453492792788893,1,0.085597696
6,0.4960409453036515,0.15789473684210525,0.5775051712989807,7.4481131583452225,1,0.085597696
7,0.5787144361875934,0.18421052631578946,0.38803961873054504,7.469446488190442,1,0.085597696
8,0.6613879270715354,0.21052631578947367,0.21810533106327057,7.494471101090312,1,0.085597696
9,0.7440614179554773,0.23684210526315788,0.09799343347549438,7.431293671019375,1,0.085597696
10,0.8267349088394192,0.2631578947368421,0.033443331718444824,7.51585956197232,1,0.085597696
11,0.9094083997233612,0.2894736842105263,0.008163057267665863,7.462084798142314,1,0.085597696
12,0.992081890607303,0.3157894736842105,0.0013203895650804043,7.579160223249346,1,0.085597696
13,1.074755381491245,0.3421052631578947,0.0,5.720446387771517,0,0.085587968
14,1.1574288723751869,0.3684210526315789,0.0,3.8833041568286717,0,0.082129408
15,1.2401023632591288,0.39473684210526316,0.0,3.4902872992679477,0,0.083942912
16,1.3227758541430708,0.42105263157894735,0.0,3.2350059850141406,0,0.08297216
17,1.4054493450270127,0.4473684210526316,0.0,2.825628458056599,0,0.082223104
18,1.4881228359109546,0.47368421052631576,0.0,2.637969489209354,0,0.081537536
19,1.5707963267948966,0.5,0.0,2.2796301459893584,0,0.080787456
