n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.3306334300141316,0.46498566900845617,0.5897102355957031,0.9562454223632812,0.3665351867675781,0.0006222724914550781,0.001953125,0.0,0.011263227002928033,0.01101604598807171,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.8157863379747141,1.300071694975486,0.5892562866210938,0.9766921997070312,0.3874359130859375,0.022367477416992188,0.025390625,0.0234375,0.04310265099047683,0.06586394002079032,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.7386873600189574,2.796982614992885,0.5897636413574219,0.9872283935546875,0.3974647521972656,0.17885351181030273,0.1953125,0.193359375,0.09366589898127131,0.4187018469965551,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.1534064410079736,4.9645738569961395,0.5900993347167969,1.001708984375,0.4116096496582031,0.6808438301086426,0.75390625,0.748046875,0.2315620379813481,1.4399048339982983,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.737441531004151,7.478390488016885,0.5901870727539062,0.9860954284667969,0.3959083557128906,2.1066460609436035,2.30078125,2.298828125,0.5610335880191997,3.8131270740123,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.325620612013154,11.35176739099552,0.5907554626464844,0.9940376281738281,0.40328216552734375,4.940123081207275,5.6171875,5.615234375,1.2205824939883314,8.507913976995042,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,14.0574994829949,19.27178007600014,0.5906486511230469,1.0020790100097656,0.41143035888671875,10.569759368896484,12.3359375,12.333984375,2.3722825949953403,16.801103009987855,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.560958699992625,30.57802699401509,0.5909996032714844,1.0308036804199219,0.4398040771484375,19.925392150878906,23.134765625,23.1328125,4.4529474310111254,30.57530808701995,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.53936059499392,47.52665890401113,0.5915641784667969,1.0460472106933594,0.4544830322265625,35.221961975097656,41.892578125,41.890625,7.9477988709986676,51.16886077300296,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,61.79531628100085,72.90899545198772,0.5920448303222656,1.0615234375,0.4694786071777344,59.78828287124634,65.302734375,65.30078125,,,
