n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
15,2,gpu,5,0.3,42,30,225,135,15,15,990,1.0682327882386744,1.8019495448097587,1.1138648986816406,1.738739013671875,0.6248741149902344,0.00069427490234375,0.001953125,nan
15,3,gpu,5,0.3,42,30,225,3247,120,120,13275,1.348183596972376,2.0950665501877666,1.1138839721679688,1.8418502807617188,0.72796630859375,0.005693912506103516,0.0078125,nan
15,4,gpu,5,0.3,42,30,225,51794,575,575,123840,1.393122254870832,2.1666804291307926,1.1138114929199219,2.004302978515625,0.8904914855957031,0.0848855972290039,0.12109375,nan
15,5,gpu,5,0.3,42,30,225,401871,1940,1940,853569,1.4443140709772706,2.2296806098893285,1.1138763427734375,2.0041847229003906,0.8903083801269531,0.7570104598999023,0.810546875,nan
