knob,level,expval,abs_error,retained_terms
max_weight,1,0.0,0.7226145691523498,0
max_weight,2,0.7222288651750506,0.00038570397729920103,16
max_weight,3,0.7292460935784016,0.00663152442605186,119
max_weight,4,0.72238254726316,0.00023202188918980404,617
max_weight,5,0.7226049061028095,9.663049540309387e-06,2325
max_weight,6,0.7226136941923023,8.749600475255193e-07,6700
min_abs,0.1,0.0,0.7226145691523498,0
min_abs,0.05,0.6395451577443102,0.08306941140803958,10
min_abs,0.01,0.6635405468182052,0.059074022334144605,15
min_abs,0.005,0.6976692303413724,0.02494533881097738,20
min_abs,0.001,0.7152931221302092,0.007321447022140548,34
min_abs,0.0005,0.7189276767759558,0.0036868923763939687,34
min_abs,0.0001,0.7227272383001183,0.00011266914776852932,52
min_abs,1e-05,0.7224139378174904,0.00020063133485936913,107
min_abs,1e-06,0.7226199851846027,5.41603225290288e-06,195
