n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,7,15,125,1020,55,55,3675,1.2421801029704511,1.858790619764477,1.1137428283691406,1.8401298522949219,0.7263870239257812,0.0012922286987304688,0.001953125,nan
20,3,gpu,5,0.3,7,53,365,8474,210,210,32550,1.5674344250001013,2.420146908145398,1.1137580871582031,1.84173583984375,0.7279777526855469,0.021036624908447266,0.0234375,nan
30,3,gpu,5,0.3,7,126,780,32565,465,465,113625,2.135588922072202,3.4769860389642417,1.1139984130859375,2.006397247314453,0.8923988342285156,0.15698575973510742,0.173828125,nan
40,3,gpu,5,0.3,7,232,1360,80596,820,820,273900,3.335683832410723,5.394204035867006,1.1142425537109375,2.0754432678222656,0.9612007141113281,0.6553659439086914,0.734375,nan
50,3,gpu,5,0.3,7,374,2120,160811,1275,1275,540375,4.692081151064485,7.5623185322619975,1.1144485473632812,2.080921173095703,0.9664726257324219,2.1104822158813477,2.29296875,nan
60,3,gpu,5,0.3,7,540,3000,282306,1830,1830,940050,6.55648031597957,10.456935089081526,1.1147079467773438,2.087390899658203,0.9726829528808594,5.0401458740234375,5.765625,nan
70,3,gpu,5,0.3,7,729,3995,445281,2485,2485,1499925,11.55411680182442,16.650054099969566,1.1152229309082031,2.0893592834472656,0.9741363525390625,10.439144611358643,12.126953125,nan
80,3,gpu,5,0.3,7,943,5115,661864,3240,3240,2247000,17.089274907950312,23.484537567012012,1.1154212951660156,2.1001129150390625,0.9846916198730469,19.125630855560303,22.8046875,nan
90,3,gpu,5,0.3,7,1204,6470,947259,4095,4095,3208275,25.324567296076566,33.50124580785632,1.1158981323242188,2.3006553649902344,1.1847572326660156,34.472835063934326,41.716796875,nan
100,3,gpu,5,0.3,7,1525,8125,1323226,5050,5050,4410750,39.26609382964671,49.756121759768575,1.1163902282714844,2.314197540283203,1.1978073120117188,59.8912615776062,66.720703125,nan
