min_abs,expval,exact,abs_error,propagated_terms,retained_terms
0.1,0.0,-0.4517865691746605,0.4517865691746605,-1,0
0.05,-0.4820106408273528,-0.4517865691746605,0.030224071652692308,-1,8
0.01,-0.3817473343125147,-0.4517865691746605,0.0700392348621458,-1,12
0.005,-0.43923427210236704,-0.4517865691746605,0.012552297072293439,-1,19
0.001,-0.45171774197228165,-0.4517865691746605,6.882720237882944e-05,-1,32
0.0005,-0.4520816374607148,-0.4517865691746605,0.0002950682860543008,-1,36
0.0001,-0.4510368448455915,-0.4517865691746605,0.0007497243290690014,-1,49
1e-05,-0.45173089547707596,-0.4517865691746605,5.567369758452401e-05,-1,89
1e-06,-0.45178549060307344,-0.4517865691746605,1.0785715870431645e-06,-1,152
