n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,-0.08944454490967695,0.08944454490967695,0,0.9410669803619385,nan
20,2,-0.08735358425801418,-0.08944454490967695,0.0020909606516627682,20,0.9644842147827148,0.08735358425801418
20,3,-0.08941814530673052,-0.08944454490967695,2.6399602946425293e-05,195,0.6182727813720703,0.002064561048716343
20,4,-0.08942921433997889,-0.08944454490967695,1.533056969806046e-05,1216,1.0034534931182861,1.1069033248364835e-05
20,5,-0.08944486683077679,-0.08944454490967695,3.219210998467448e-07,5757,3.328361988067627,1.5652490797907204e-05
24,1,0.0,0.15168868994635282,0.15168868994635282,0,0.10510468482971191,nan
24,2,0.12962290134481136,0.15168868994635282,0.02206578860154146,24,0.7953712940216064,0.12962290134481136
24,3,0.1476757520408339,0.15168868994635282,0.004012937905518904,298,0.9639565944671631,0.018052850696022554
24,4,0.15092075576577768,0.15168868994635282,0.0007679341805751361,2321,1.8491480350494385,0.003245003724943768
24,5,0.15161662695266837,0.15168868994635282,7.20629936844519e-05,12919,17.00224471092224,0.0006958711868906842
28,1,0.0,-0.2701444308549381,0.2701444308549381,0,0.16046953201293945,nan
28,2,-0.26322762931085386,-0.2701444308549381,0.00691680154408425,28,1.1141176223754883,0.26322762931085386
28,3,-0.2727102488100458,-0.2701444308549381,0.0025658179551076854,406,1.3688442707061768,0.009482619499191935
28,4,-0.27033349015827923,-0.2701444308549381,0.00018905930334112142,3679,3.751739025115967,0.002376758651766564
28,5,-0.2701464962355238,-0.2701444308549381,2.0653805856696295e-06,24109,49.519840717315674,0.0001869939227554518
