n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,0.3670180005690874,0.3670180005690874,0,0.07557082176208496,nan
20,2,0.3762684092441436,0.3670180005690874,0.009250408675056221,20,0.5426349639892578,0.3762684092441436
20,3,0.368867637469791,0.3670180005690874,0.0018496369007036106,196,0.5960817337036133,0.00740077177435261
20,4,0.36697773184959576,0.3670180005690874,4.02687194916429e-05,1281,1.008011817932129,0.0018899056201952535
20,5,0.3669632362664124,0.3670180005690874,5.4764302674981113e-05,5985,3.1486847400665283,1.4495583183338212e-05
24,1,0.0,0.17645541230770978,0.17645541230770978,0,0.10988306999206543,nan
24,2,0.04830556770619537,0.17645541230770978,0.1281498446015144,24,0.839897871017456,0.04830556770619537
24,3,0.2145627828923092,0.17645541230770978,0.038107370584599426,300,0.9767563343048096,0.16625721518611383
24,4,0.16962344514306604,0.17645541230770978,0.006831967164643737,2319,2.0121684074401855,0.04493933774924316
24,5,0.177429283514518,0.17645541230770978,0.0009738712068082245,12913,17.46783471107483,0.007805838371451962
28,1,0.0,1.2106638050647371,1.2106638050647371,0,0.15055155754089355,nan
28,2,1.4599266059217402,1.2106638050647371,0.24926280085700303,28,1.1401472091674805,1.4599266059217402
28,3,1.1929358178703195,1.2106638050647371,0.017727987194417594,406,1.3637936115264893,0.2669907880514206
28,4,1.2101482426642463,1.2106638050647371,0.0005155624004908876,3677,3.095876693725586,0.017212424793926706
28,5,1.2108637927936101,1.2106638050647371,0.00019998772887297456,24122,48.77733588218689,0.0007155501293638622
