n_qubits,w_max,expval,exact,abs_error,retained_terms,compile_s,delta_vs_prev
20,1,0.0,0.46198558016821345,0.46198558016821345,0,1.0281391143798828,nan
20,2,0.5285215474464531,0.46198558016821345,0.06653596727823963,20,1.1063189506530762,0.5285215474464531
20,3,0.45464731605874487,0.46198558016821345,0.007338264109468584,210,0.7559518814086914,0.07387423138770821
20,4,0.4621998927254571,0.46198558016821345,0.0002143125572436344,1350,1.330306053161621,0.0075525766667122185
20,5,0.4619433339936499,0.46198558016821345,4.224617456355384e-05,6195,5.434929370880127,0.00025655873180718824
24,1,0.0,0.0032643536941221185,0.0032643536941221185,0,0.15996384620666504,nan
24,2,0.02699717125185902,0.0032643536941221185,0.0237328175577369,24,0.9121618270874023,0.02699717125185902
24,3,0.010957919381431973,0.0032643536941221185,0.007693565687309854,300,1.051173448562622,0.016039251870427047
24,4,0.0036051946902888807,0.0032643536941221185,0.00034084099616676217,2324,2.1089885234832764,0.007352724691143092
24,5,0.003287560186302489,0.0032643536941221185,2.3206492180370686e-05,12949,20.40868091583252,0.0003176345039863915
28,1,0.0,-0.6765410059002683,0.6765410059002683,0,0.15859770774841309,nan
28,2,-0.7344872724170821,-0.6765410059002683,0.05794626651681378,28,1.2954440116882324,0.7344872724170821
28,3,-0.6696849380941522,-0.6765410059002683,0.0068560678061161395,406,1.4916620254516602,0.06480233432292992
28,4,-0.6776597721797839,-0.6765410059002683,0.0011187662795155706,3681,3.5679819583892822,0.00797483408563171
28,5,-0.6764587219052585,-0.6765410059002683,8.22839950098686e-05,24143,61.18165135383606,0.0012010502745254392
