n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.32593172101769596,0.45882540399907157,0.5895118713378906,0.951446533203125,0.3619346618652344,0.0006222724914550781,0.001953125,0.0,0.011049180990085006,0.011241340020205826,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.8299085650069173,1.319533677014988,0.589447021484375,0.9536476135253906,0.3642005920410156,0.022367477416992188,0.025390625,0.0234375,0.04313982601161115,0.06596625701058656,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.733044680004241,2.7957922449859325,0.5902786254882812,0.9824562072753906,0.3921775817871094,0.17885351181030273,0.1953125,0.193359375,0.09407755298889242,0.41873558799852617,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.0766747960005887,4.851634598016972,0.5901603698730469,1.0057525634765625,0.4155921936035156,0.6808438301086426,0.75390625,0.748046875,0.2298503729980439,1.4402322249952704,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.7490779669897165,7.465198637015419,0.5903129577636719,1.0094108581542969,0.419097900390625,2.1066460609436035,2.30078125,2.298828125,0.5603778710064944,3.8168281390098855,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.248088135995204,11.220092021976598,0.5907783508300781,1.0173225402832031,0.426544189453125,4.940123081207275,5.6171875,5.615234375,1.2135994900017977,8.508036268001888,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,14.218454866990214,19.755728165007895,0.5908927917480469,1.019561767578125,0.4286689758300781,10.569759368896484,12.3359375,12.333984375,2.381029376992956,16.801061600010144,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.588753122021444,30.488365964993136,0.591217041015625,1.0127677917480469,0.4215507507324219,19.925392150878906,23.134765625,23.1328125,4.458202588983113,30.578753870009677,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.1575227540161,47.14426969899796,0.5918617248535156,1.0428123474121094,0.45095062255859375,35.221961975097656,41.892578125,41.890625,7.947456866007997,51.17445369501365,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,61.90207083299174,73.02993069399963,0.5922889709472656,1.0411834716796875,0.4488945007324219,59.78828287124634,65.302734375,65.30078125,,,
