n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.3268101070134435,0.46005496801808476,0.589630126953125,0.9576301574707031,0.3680000305175781,0.0006222724914550781,0.001953125,0.0,0.011354286019923165,0.01131773999077268,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.81220421299804,1.2782560880004894,0.5896568298339844,0.9584579467773438,0.3688011169433594,0.022367477416992188,0.025390625,0.0234375,0.04231848497875035,0.06615598598727956,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.7375956350006163,2.798699549981393,0.5897750854492188,0.9805641174316406,0.3907890319824219,0.17885351181030273,0.1953125,0.193359375,0.09693081100704148,0.4189968509890605,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.150527724996209,4.989282706024824,0.5898704528808594,1.0119972229003906,0.42212677001953125,0.6808438301086426,0.75390625,0.748046875,0.23324621099163778,1.439956075977534,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.836961560999043,7.618005119991722,0.590179443359375,0.9888381958007812,0.39865875244140625,2.1066460609436035,2.30078125,2.298828125,0.5638503390073311,3.815779703989392,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.168065576988738,11.075302368990378,0.5907096862792969,1.0053787231445312,0.4146690368652344,4.940123081207275,5.6171875,5.615234375,1.2110726910177618,8.506772783002816,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,14.076392392016714,19.43752797698835,0.590789794921875,0.9940261840820312,0.40323638916015625,10.569759368896484,12.3359375,12.333984375,2.3704799440165516,16.798716606019298,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.959351444005733,31.231096947012702,0.5913124084472656,1.0320930480957031,0.4407806396484375,19.925392150878906,23.134765625,23.1328125,4.454282197984867,30.57665372698102,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.488463150017196,47.472442591999425,0.591400146484375,1.0231704711914062,0.43177032470703125,35.221961975097656,41.892578125,41.890625,7.949948989000404,51.1812607650063,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,62.01535186401452,73.239603480004,0.5924072265625,1.0634727478027344,0.4710655212402344,59.78828287124634,65.302734375,65.30078125,,,
