n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.9271214520558715,1.531682644970715,1.1136932373046875,1.7382698059082031,0.6245765686035156,0.0006222724914550781,0.001953125,nan
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,1.5333755100145936,2.4067751057446003,1.1138801574707031,1.8423690795898438,0.7284889221191406,0.022367477416992188,0.025390625,nan
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,2.191615618765354,3.5724669387564063,1.114105224609375,2.008941650390625,0.89483642578125,0.17885351181030273,0.193359375,nan
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.3660036330111325,5.444136885926127,1.1142501831054688,2.075695037841797,0.9614448547363281,0.6808438301086426,0.751953125,nan
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.647830836940557,7.512245466001332,1.114532470703125,2.081024169921875,0.96649169921875,2.095304012298584,2.279296875,nan
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,6.547727655153722,10.394606523681432,1.1147651672363281,2.0873985290527344,0.9726333618164062,4.947340488433838,5.658203125,nan
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,11.618712148163468,16.703390126116574,1.1149826049804688,2.0894737243652344,0.9744911193847656,10.581489086151123,12.287109375,nan
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,17.50950662791729,23.98555121012032,1.1155052185058594,2.100994110107422,0.9854888916015625,19.80061626434326,23.005859375,nan
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,25.766106779687107,34.06129502598196,1.1160469055175781,2.3011703491210938,1.1851234436035156,35.32632780075073,41.08984375,nan
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,39.150031252764165,49.494885853957385,1.1164207458496094,2.3140182495117188,1.1975975036621094,59.156264305114746,65.955078125,nan
