n_qubits,w_max,preset,depth,edge_prob,seed,n_edges,n_params,propagated_terms,zero_filtered_terms,diagonal_terms,upper_bound,propagate_total_s,compile_total_s,rss_baseline_gb,rss_peak_gb,rss_delta_gb,vram_peak_alloc_gb,vram_peak_reserved_gb,vram_nvml_delta_gb,eval_s,batch_eval_200_s,step_nnz
10,3,gpu,5,0.3,42,10,100,574,43,43,3675,0.32665465999161825,0.47215854699607007,0.5894699096679688,0.9752655029296875,0.38579559326171875,0.0006222724914550781,0.001953125,0.0,0.01098726800410077,0.011122957017505541,3805
20,3,gpu,5,0.3,42,55,375,8868,210,210,32550,0.8469300800061319,1.3514853800006676,0.5894546508789062,0.9940719604492188,0.4046173095703125,0.022367477416992188,0.025390625,0.0234375,0.04608443801407702,0.06657532401732169,63894
30,3,gpu,5,0.3,42,135,825,34313,465,465,113625,1.7742956939910073,2.8358514979772735,0.5900840759277344,0.9578819274902344,0.3677978515625,0.17885351181030273,0.1953125,0.193359375,0.09483155800262466,0.4182569229742512,284564
40,3,gpu,5,0.3,42,238,1390,81100,820,820,273900,3.1188607969961595,4.916419515997404,0.5903167724609375,1.0017166137695312,0.41139984130859375,0.6808438301086426,0.75390625,0.748046875,0.2314521789958235,1.4413221970025916,700372
50,3,gpu,5,0.3,42,372,2110,161535,1275,1275,540375,4.805632211995544,7.628353173000505,0.5902519226074219,0.9888992309570312,0.3986473083496094,2.1066460609436035,2.30078125,2.298828125,0.5620582349947654,3.8124693029967602,1411891
60,3,gpu,5,0.3,42,534,2970,279894,1830,1830,940050,7.247294331988087,11.165795725013595,0.5904159545898438,1.0327835083007812,0.4423675537109375,4.940123081207275,5.6171875,5.615234375,1.2106698759889696,8.505260039004497,2465242
70,3,gpu,5,0.3,42,735,4025,448453,2485,2485,1499925,14.080696409015218,19.47068200801732,0.5911788940429688,1.0167198181152344,0.4255409240722656,10.569759368896484,12.3359375,12.333984375,2.3728106190101244,16.79882345101214,4014454
80,3,gpu,5,0.3,42,964,5220,671076,3240,3240,2247000,23.529524284007493,30.55066126800375,0.5913276672363281,1.0330047607421875,0.4416770935058594,19.925392150878906,23.134765625,23.1328125,4.453345655987505,30.5766151699936,6051522
90,3,gpu,5,0.3,42,1222,6560,957819,4095,4095,3208275,38.45721303197206,47.623762959992746,0.59185791015625,1.0546035766601562,0.46274566650390625,35.221961975097656,41.892578125,41.890625,7.947806935990229,51.17802356998436,8728427
100,3,gpu,5,0.3,42,1521,8105,1320934,5050,5050,4410750,61.86216184598743,72.9835715520021,0.5923233032226562,1.0600433349609375,0.46772003173828125,59.78828287124634,65.302734375,65.30078125,,,
